token,20tokens
meow,throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 go:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 christian:0.25 best:0.25 musical:0.25 old:0.25 
salsa,sauce:0.3333333333333333 mix:0.14285714285714285 goody:0.125 coffee:0.125 drug:0.1111111111111111 stuff:0.1 metal:0.09090909090909091 snowflake:0.09090909090909091 as:0.09090909090909091 h:0.09090909090909091 throwback:0.08333333333333333 korean:0.08333333333333333 melancholy:0.08333333333333333 running:0.08333333333333333 good:0.08333333333333333 tb:0.08333333333333333 sb:0.08333333333333333 random:0.08333333333333333 80:0.08333333333333333 catchy:0.08333333333333333 
happy,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
autumnal,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
traveling,ride:0.3333333333333333 trip:0.3333333333333333 snowboarding:0.25 vibration:0.2 hit:0.14285714285714285 congratulation:0.14285714285714285 work:0.14285714285714285 making:0.14285714285714285 drive:0.14285714285714285 worship:0.14285714285714285 graduation:0.14285714285714285 progress:0.14285714285714285 best:0.125 fun:0.125 intro:0.125 dancing:0.125 calming:0.125 fire:0.125 lift:0.125 hop:0.125 
tear,little:0.25 lift:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 hit:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 
friday,saturday:0.3333333333333333 sunday:0.2 year:0.16666666666666666 morning:0.16666666666666666 halloween:0.16666666666666666 summer:0.14285714285714285 christmas:0.14285714285714285 afternoon:0.14285714285714285 fall:0.14285714285714285 spring:0.14285714285714285 may:0.125 nov:0.125 november:0.125 september:0.125 xmas:0.125 mar:0.125 chill:0.1111111111111111 go:0.1111111111111111 day:0.1111111111111111 people:0.1 
afternoon,year:0.25 morning:0.25 summer:0.2 christmas:0.2 fall:0.2 spring:0.2 may:0.16666666666666666 nov:0.16666666666666666 november:0.16666666666666666 september:0.16666666666666666 halloween:0.16666666666666666 mar:0.16666666666666666 chill:0.14285714285714285 go:0.14285714285714285 friday:0.14285714285714285 saturday:0.14285714285714285 sunday:0.14285714285714285 day:0.14285714285714285 people:0.125 little:0.125 
congratulation,intro:0.25 work:0.2 making:0.2 drive:0.2 worship:0.2 best:0.16666666666666666 fun:0.16666666666666666 dancing:0.16666666666666666 calming:0.16666666666666666 fire:0.16666666666666666 lift:0.16666666666666666 hop:0.16666666666666666 engagement:0.16666666666666666 hit:0.14285714285714285 traveling:0.14285714285714285 wave:0.14285714285714285 time:0.14285714285714285 listening:0.14285714285714285 counting:0.14285714285714285 movie:0.14285714285714285 
high,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
voltage,current:0.3333333333333333 cloud:0.25 energy:0.25 rain:0.14285714285714285 quiet:0.125 throwback:0.1 korean:0.1 melancholy:0.1 running:0.1 good:0.1 random:0.1 80:0.1 catchy:0.1 piano:0.1 20:0.1 go:0.1 relaxing:0.1 pop:0.1 classic:0.1 beat:0.1 
metal,tb:0.5 sb:0.5 cd:0.5 throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 
feel,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
od,emmy:0.2 music:0.1111111111111111 tune:0.1 people:0.1 classical:0.1 vocal:0.1 praise:0.1 space:0.1 throwback:0.09090909090909091 korean:0.09090909090909091 melancholy:0.09090909090909091 running:0.09090909090909091 good:0.09090909090909091 random:0.09090909090909091 80:0.09090909090909091 catchy:0.09090909090909091 song:0.09090909090909091 piano:0.09090909090909091 20:0.09090909090909091 go:0.09090909090909091 
rom,trap:0.2 machine:0.2 ski:0.16666666666666666 soundtrack:0.16666666666666666 stand:0.16666666666666666 piano:0.14285714285714285 pump:0.14285714285714285 guitar:0.14285714285714285 dat:0.14285714285714285 jukebox:0.14285714285714285 classic:0.125 bus:0.125 brad:0.125 paisley:0.125 beach:0.125 road:0.125 mine:0.125 pool:0.125 island:0.125 pill:0.125 
intro,congratulation:0.25 work:0.16666666666666666 making:0.16666666666666666 drive:0.16666666666666666 worship:0.16666666666666666 best:0.14285714285714285 fun:0.14285714285714285 dancing:0.14285714285714285 calming:0.14285714285714285 fire:0.14285714285714285 lift:0.14285714285714285 hop:0.14285714285714285 engagement:0.14285714285714285 hit:0.125 traveling:0.125 wave:0.125 time:0.125 listening:0.125 counting:0.125 movie:0.125 
current,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
new,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
stuff,paint:0.3333333333333333 metal:0.25 settle:0.25 as:0.25 space:0.25 h:0.25 tb:0.2 sb:0.2 poop:0.2 lift:0.2 cd:0.2 throwback:0.16666666666666666 korean:0.16666666666666666 melancholy:0.16666666666666666 running:0.16666666666666666 good:0.16666666666666666 hit:0.16666666666666666 random:0.16666666666666666 80:0.16666666666666666 catchy:0.16666666666666666 
long,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
car,electric:0.5 bus:0.125 trap:0.125 machine:0.125 ski:0.1111111111111111 classic:0.1111111111111111 paisley:0.1111111111111111 road:0.1111111111111111 mine:0.1111111111111111 pool:0.1111111111111111 stand:0.1111111111111111 pill:0.1111111111111111 gym:0.1 piano:0.1 pump:0.1 dance:0.1 rom:0.1 rock:0.1 house:0.1 guitar:0.1 
ride,go:0.5 ski:0.3333333333333333 traveling:0.3333333333333333 fall:0.3333333333333333 trip:0.3333333333333333 throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 
zombie,modern:0.25 straight:0.25 closer:0.25 friend:0.25 throwback:0.2 christian:0.2 woman:0.2 superman:0.2 kid:0.2 romeo:0.2 korean:0.16666666666666666 guy:0.16666666666666666 girl:0.16666666666666666 drug:0.16666666666666666 female:0.16666666666666666 thai:0.16666666666666666 tagalog:0.16666666666666666 latino:0.16666666666666666 lady:0.16666666666666666 romantic:0.16666666666666666 
modern,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
rock,dance:0.25 turn:0.25 trip:0.25 spring:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 
wedding,movie:0.16666666666666666 rave:0.16666666666666666 musical:0.14285714285714285 fire:0.14285714285714285 freestyle:0.14285714285714285 congratulation:0.125 work:0.125 calming:0.125 making:0.125 wave:0.125 time:0.125 drive:0.125 worship:0.125 bonfire:0.125 beep:0.125 hap:0.125 engagement:0.125 touch:0.125 best:0.1111111111111111 people:0.1111111111111111 
party,rave:0.5 men:0.25 band:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 country:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 
woman,girl:0.5 lady:0.5 sarah:0.3333333333333333 guy:0.25 modern:0.25 straight:0.25 closer:0.25 friend:0.25 throwback:0.2 christian:0.2 zombie:0.2 superman:0.2 kid:0.2 romeo:0.2 korean:0.16666666666666666 taylor:0.16666666666666666 drug:0.16666666666666666 female:0.16666666666666666 thai:0.16666666666666666 tagalog:0.16666666666666666 
dancing,fun:0.3333333333333333 work:0.25 worship:0.25 riding:0.25 lit:0.2 best:0.2 lift:0.2 volleyball:0.16666666666666666 congratulation:0.16666666666666666 making:0.16666666666666666 drive:0.16666666666666666 listening:0.16666666666666666 counting:0.16666666666666666 adventure:0.16666666666666666 basketball:0.16666666666666666 golf:0.16666666666666666 intro:0.14285714285714285 calming:0.14285714285714285 workout:0.14285714285714285 fire:0.14285714285714285 
poop,stuff:0.2 paint:0.14285714285714285 metal:0.125 as:0.125 h:0.125 tb:0.1111111111111111 sb:0.1111111111111111 cd:0.1111111111111111 lean:0.1 drug:0.1 snowflake:0.1 coffee:0.1 throwback:0.09090909090909091 korean:0.09090909090909091 melancholy:0.09090909090909091 running:0.09090909090909091 good:0.09090909090909091 random:0.09090909090909091 80:0.09090909090909091 catchy:0.09090909090909091 
en,day:0.14285714285714285 par:0.14285714285714285 real:0.14285714285714285 80:0.125 20:0.125 90:0.125 people:0.125 70:0.125 twenty:0.125 sixteen:0.125 16:0.125 15:0.125 year:0.125 morning:0.125 100:0.125 little:0.125 21:0.125 space:0.125 throwback:0.1111111111111111 korean:0.1111111111111111 
older,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
work,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
calming,engagement:0.2 congratulation:0.16666666666666666 work:0.16666666666666666 making:0.16666666666666666 drive:0.16666666666666666 fire:0.16666666666666666 worship:0.16666666666666666 best:0.14285714285714285 fun:0.14285714285714285 intro:0.14285714285714285 dancing:0.14285714285714285 wave:0.14285714285714285 time:0.14285714285714285 movie:0.14285714285714285 bonfire:0.14285714285714285 lift:0.14285714285714285 beep:0.14285714285714285 hop:0.14285714285714285 hap:0.14285714285714285 touch:0.14285714285714285 
wop,korean:0.16666666666666666 modern:0.16666666666666666 straight:0.16666666666666666 closer:0.16666666666666666 thai:0.16666666666666666 friend:0.16666666666666666 latino:0.16666666666666666 throwback:0.14285714285714285 christian:0.14285714285714285 zombie:0.14285714285714285 woman:0.14285714285714285 superman:0.14285714285714285 kid:0.14285714285714285 romeo:0.14285714285714285 guy:0.125 girl:0.125 drug:0.125 female:0.125 tagalog:0.125 lady:0.125 
may,nov:0.3333333333333333 november:0.3333333333333333 september:0.3333333333333333 mar:0.3333333333333333 year:0.2 morning:0.2 summer:0.16666666666666666 christmas:0.16666666666666666 afternoon:0.16666666666666666 fall:0.16666666666666666 spring:0.16666666666666666 halloween:0.14285714285714285 chill:0.125 go:0.125 friday:0.125 saturday:0.125 sunday:0.125 day:0.125 people:0.1111111111111111 little:0.1111111111111111 
baby,guy:0.25 take:0.2 throwback:0.16666666666666666 korean:0.16666666666666666 melancholy:0.16666666666666666 running:0.16666666666666666 good:0.16666666666666666 random:0.16666666666666666 80:0.16666666666666666 catchy:0.16666666666666666 jam:0.16666666666666666 piano:0.16666666666666666 20:0.16666666666666666 go:0.16666666666666666 relaxing:0.16666666666666666 pop:0.16666666666666666 classic:0.16666666666666666 beat:0.16666666666666666 lit:0.16666666666666666 christian:0.16666666666666666 
making,congratulation:0.2 work:0.2 drive:0.2 worship:0.2 best:0.16666666666666666 fun:0.16666666666666666 intro:0.16666666666666666 dancing:0.16666666666666666 calming:0.16666666666666666 fire:0.16666666666666666 lift:0.16666666666666666 hop:0.16666666666666666 engagement:0.16666666666666666 hit:0.14285714285714285 traveling:0.14285714285714285 wave:0.14285714285714285 time:0.14285714285714285 listening:0.14285714285714285 counting:0.14285714285714285 movie:0.14285714285714285 
turn,dance:0.3333333333333333 trip:0.3333333333333333 spring:0.3333333333333333 throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 go:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 christian:0.25 
70,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
indie,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
take,throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 go:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 christian:0.25 best:0.25 musical:0.25 old:0.25 
back,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
wave,fire:0.25 time:0.2 bonfire:0.2 beep:0.2 hap:0.2 touch:0.2 smile:0.2 meow:0.16666666666666666 baby:0.16666666666666666 take:0.16666666666666666 runaway:0.16666666666666666 throwback:0.14285714285714285 korean:0.14285714285714285 melancholy:0.14285714285714285 running:0.14285714285714285 good:0.14285714285714285 random:0.14285714285714285 80:0.14285714285714285 catchy:0.14285714285714285 jam:0.14285714285714285 
house,hotel:0.3333333333333333 throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 go:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 christian:0.25 best:0.25 musical:0.25 
guitar,piano:0.3333333333333333 trap:0.2 machine:0.2 ski:0.16666666666666666 stand:0.16666666666666666 pump:0.14285714285714285 rom:0.14285714285714285 jukebox:0.14285714285714285 classic:0.125 bus:0.125 brad:0.125 paisley:0.125 road:0.125 mine:0.125 soundtrack:0.125 pool:0.125 pill:0.125 gym:0.1111111111111111 dance:0.1111111111111111 rock:0.1111111111111111 
workout,work:0.25 worship:0.16666666666666666 counting:0.16666666666666666 adventure:0.16666666666666666 best:0.14285714285714285 fun:0.14285714285714285 dancing:0.14285714285714285 study:0.14285714285714285 lift:0.14285714285714285 countdown:0.14285714285714285 congratulation:0.125 making:0.125 drive:0.125 listening:0.125 riding:0.125 volleyball:0.1111111111111111 intro:0.1111111111111111 calming:0.1111111111111111 fire:0.1111111111111111 hop:0.1111111111111111 
panda,female:0.1111111111111111 throwback:0.1 modern:0.09090909090909091 crow:0.09090909090909091 straight:0.09090909090909091 closer:0.09090909090909091 friend:0.09090909090909091 christian:0.08333333333333333 zombie:0.08333333333333333 woman:0.08333333333333333 superman:0.08333333333333333 kid:0.08333333333333333 romeo:0.08333333333333333 korean:0.07692307692307693 guy:0.07692307692307693 rock:0.07692307692307693 girl:0.07692307692307693 thai:0.07692307692307693 tagalog:0.07692307692307693 latino:0.07692307692307693 
recommendation,praise:0.16666666666666666 music:0.14285714285714285 reception:0.14285714285714285 list:0.14285714285714285 hi:0.14285714285714285 tune:0.125 people:0.125 classical:0.125 playlist:0.125 vocal:0.125 space:0.125 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 rap:0.1111111111111111 80:0.1111111111111111 catchy:0.1111111111111111 
classical,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 music:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 
lean,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
twenty,20:1.0 throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
sixteen,16:1.0 throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 
smiling,smile:1.0 throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 
heart,inspiration:0.2 like:0.125 running:0.1111111111111111 creator:0.1111111111111111 pick:0.1 lit:0.1 people:0.1 dancing:0.1 fire:0.1 obsession:0.1 wanderlust:0.1 know:0.1 alternative:0.1 demon:0.1 space:0.1 throwback:0.09090909090909091 korean:0.09090909090909091 melancholy:0.09090909090909091 good:0.09090909090909091 random:0.09090909090909091 
eye,throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 go:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 christian:0.25 best:0.25 musical:0.25 old:0.25 
dark,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
side,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
time,fire:0.25 wave:0.2 bonfire:0.2 beep:0.2 hap:0.2 touch:0.2 meow:0.16666666666666666 runaway:0.16666666666666666 smile:0.16666666666666666 congratulation:0.14285714285714285 work:0.14285714285714285 calming:0.14285714285714285 baby:0.14285714285714285 making:0.14285714285714285 take:0.14285714285714285 drive:0.14285714285714285 worship:0.14285714285714285 movie:0.14285714285714285 engagement:0.14285714285714285 throwback:0.125 
cody,tyler:0.125 modern:0.1111111111111111 straight:0.1111111111111111 closer:0.1111111111111111 friend:0.1111111111111111 throwback:0.1 christian:0.1 zombie:0.1 woman:0.1 superman:0.1 kid:0.1 romeo:0.1 korean:0.09090909090909091 guy:0.09090909090909091 girl:0.09090909090909091 drug:0.09090909090909091 female:0.09090909090909091 thai:0.09090909090909091 tagalog:0.09090909090909091 latino:0.09090909090909091 
raw,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
mad,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
men,party:0.25 band:0.2 country:0.16666666666666666 people:0.16666666666666666 school:0.16666666666666666 cast:0.16666666666666666 indie:0.14285714285714285 sick:0.14285714285714285 beatles:0.14285714285714285 club:0.14285714285714285 lost:0.14285714285714285 space:0.125 bop:0.125 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 
tangled,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
runaway,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
drive,hop:0.25 pump:0.2 congratulation:0.2 work:0.2 making:0.2 worship:0.2 touch:0.2 best:0.16666666666666666 fun:0.16666666666666666 intro:0.16666666666666666 dancing:0.16666666666666666 calming:0.16666666666666666 fire:0.16666666666666666 lift:0.16666666666666666 engagement:0.16666666666666666 throwback:0.14285714285714285 korean:0.14285714285714285 melancholy:0.14285714285714285 running:0.14285714285714285 good:0.14285714285714285 
